company_size,count,company_region,percentage
L,117,North America,30.38961038961039
M,234,North America,60.77922077922078
S,34,North America,8.831168831168831
L,58,Europe,36.94267515923567
M,72,Europe,45.85987261146497
S,27,Europe,17.197452229299362
L,17,Asia,44.73684210526316
M,11,Asia,28.947368421052634
S,10,Asia,26.31578947368421
L,2,Latin America,22.22222222222222
M,3,Latin America,33.33333333333333
S,4,Latin America,44.44444444444444
L,2,Middle East,22.22222222222222
M,4,Middle East,44.44444444444444
S,3,Middle East,33.33333333333333
L,1,Oceania,20.0
M,1,Oceania,20.0
S,3,Oceania,60.0
L,1,Africa,25.0
M,1,Africa,25.0
S,2,Africa,50.0
